parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,Z
pnew[18],0.3356,0.0022,0.1148,0.1359,0.2517,0.3281,0.412,0.5809,2676,1.0,0.158647346939
pnew[19],0.339,0.0024,0.1189,0.1327,0.252,0.3308,0.4179,0.5934,2450,1.0,0.163117755102
pnew[20],0.3422,0.0026,0.1229,0.1292,0.2515,0.3325,0.4234,0.6043,2259,1.0001,0.167588163265
pnew[21],0.345,0.0027,0.1266,0.1261,0.2513,0.3351,0.429,0.6156,2151,1.0001,0.172058571429
pnew[22],0.3475,0.0029,0.1301,0.1235,0.2515,0.3369,0.4344,0.6257,2079,1.0001,0.176528979592
pnew[23],0.3496,0.003,0.1333,0.1205,0.2515,0.3388,0.4396,0.6337,2035,1.0001,0.180999387755
pnew[24],0.3514,0.003,0.1361,0.1179,0.251,0.3403,0.4433,0.6418,2015,1.0001,0.185469795918
pnew[25],0.3528,0.0031,0.1386,0.1165,0.2517,0.3418,0.4473,0.6479,2016,1.0001,0.189940204082
pnew[26],0.3538,0.0031,0.1407,0.1144,0.2509,0.342,0.4495,0.6529,2037,1.0001,0.194410612245
pnew[27],0.3546,0.0031,0.1425,0.1128,0.2494,0.3428,0.4517,0.6569,2078,1.0001,0.198881020408
pnew[28],0.3549,0.0031,0.144,0.1113,0.2485,0.3419,0.4539,0.6596,2141,1.0001,0.203351428571
pnew[29],0.355,0.0031,0.1453,0.1091,0.2466,0.3402,0.4542,0.6608,2229,1.0001,0.207821836735
pnew[30],0.3547,0.003,0.1465,0.1072,0.2457,0.341,0.4558,0.6646,2346,1.0,0.212292244898
pnew[31],0.3541,0.003,0.1475,0.1055,0.2441,0.3408,0.4539,0.6672,2499,1.0,0.216762653061
pnew[32],0.3533,0.0029,0.1485,0.1028,0.2422,0.3398,0.4533,0.6668,2696,0.9999,0.221233061224
pnew[33],0.3522,0.0028,0.1496,0.1019,0.2402,0.3384,0.4537,0.6698,2947,0.9999,0.225703469388
pnew[34],0.3509,0.0026,0.1509,0.0995,0.238,0.3367,0.4536,0.671,3267,0.9999,0.230173877551
pnew[35],0.3495,0.0025,0.1524,0.0962,0.2339,0.3347,0.4519,0.6729,3669,0.9998,0.234644285714
pnew[36],0.3479,0.0024,0.1543,0.092,0.2307,0.3332,0.4522,0.675,4166,0.9998,0.239114693878
pnew[37],0.3461,0.0021,0.1566,0.0891,0.227,0.3308,0.4521,0.6776,5709,0.9998,0.243585102041
pnew[38],0.3444,0.002,0.1595,0.0838,0.2222,0.3287,0.453,0.6797,6394,0.9998,0.248055510204
pnew[39],0.3426,0.002,0.163,0.0777,0.216,0.3266,0.4536,0.6858,6976,0.9998,0.252525918367
pnew[40],0.3408,0.0019,0.1671,0.0723,0.2108,0.3247,0.4538,0.6916,7357,0.9998,0.256996326531
pnew[41],0.3391,0.002,0.172,0.0644,0.2053,0.32,0.456,0.7019,7407,0.9998,0.261466734694
pnew[42],0.3376,0.0021,0.1775,0.0559,0.1988,0.3177,0.4585,0.7116,7276,0.9998,0.265937142857
pnew[43],0.3361,0.0022,0.1838,0.0481,0.1908,0.315,0.4618,0.7264,6995,0.9998,0.27040755102
pnew[44],0.3349,0.0024,0.1907,0.0419,0.1824,0.3128,0.4656,0.7413,6507,0.9999,0.274877959184
pnew[45],0.3339,0.0026,0.1983,0.035,0.1742,0.3083,0.4715,0.759,5967,0.9999,0.279348367347
pnew[46],0.3331,0.0028,0.2063,0.029,0.1639,0.3038,0.4766,0.7767,5313,0.9999,0.28381877551
pnew[47],0.3325,0.0031,0.2148,0.0233,0.1536,0.2996,0.4807,0.7955,4751,0.9999,0.288289183673
pnew[48],0.3322,0.0034,0.2237,0.0186,0.1439,0.2966,0.4893,0.8164,4277,1.0,0.292759591837
pnew[49],0.3322,0.0037,0.2328,0.0147,0.1347,0.2936,0.4983,0.8361,3885,1.0,0.29723
