beta0,beta1,beta2
-0.646470440608,0.485955983771,-0.0948388374335
-0.802491835329,0.582488496947,-0.113384667435
-0.423109705392,0.135314011339,-0.020699951172
-0.826323224106,0.408318301384,-0.043644404533
-0.698423501801,0.486662749711,-0.0961161717945
-0.891830769975,0.741894619108,-0.128017809158
-0.438543824878,0.199293707744,-0.0384671951722
-0.540979404944,0.208974399132,-0.0156444932847
-0.444089949283,0.0746709139868,0.0200600739989
-0.896231153907,0.826510743178,-0.175639033754
-0.802657773273,0.614048562983,-0.114829434064
-0.515030490865,0.188874843314,-0.0238912204012
-0.784990616601,0.477966353616,-0.109675358402
-0.630228368367,0.309757911087,-0.0385019868536
-0.979570579507,0.673294278416,-0.109776346696
-0.485313359085,0.204690384969,-0.0413701832173
-0.98741488499,0.765469741434,-0.15064154397
-0.495684717844,-0.0485194399909,0.0294849148346
-0.792090862479,0.34182258311,-0.0443457351643
-0.314609311492,0.0639353933015,2.58292961272e-05
-0.204202756274,-0.210132588303,0.0644620289769
-0.355865597217,-0.219828969677,0.0713732948569
-0.763375297825,-0.0442065199638,0.0595050266846
-0.723892563434,0.49391867388,-0.0968221724145
-0.682939391992,0.305508364328,-0.0615044332185
-0.628219785445,0.367568202956,-0.058995559741
-0.898108136388,0.598223369017,-0.105193640281
-0.747696317201,0.451391807045,-0.0864143115502
-0.510395727063,0.1149828787,-0.0232652010642
-0.690404664951,0.49719934838,-0.0977113202508
-0.635447839807,0.339899520772,-0.0615875074456
-0.727081658656,0.361623583129,-0.0698412085929
-0.590397378217,0.196924187332,-0.00503325528459
-0.223663584831,0.156821894679,-0.0332194286423
-0.721297586118,0.469094256792,-0.081793584076
-0.977417683174,0.791227305049,-0.158963748183
-0.725179222792,0.404953396143,-0.0571263669031
-0.992243411997,0.608793774824,-0.106670469234
-0.802102267135,0.409250712397,-0.0514565507242
-0.376320207397,-0.0340540759118,0.00899308041467
-0.53699617071,0.111391417709,-0.0085811713802
-0.611912897261,0.297248135622,-0.0500129186565
-0.857316882384,0.358076304981,-0.0444597491782
-0.809038715367,0.279855009294,-0.0244375938935
-0.754463539124,0.609377027728,-0.132093252636
-0.467706246244,0.0151484744268,0.0146979022015
-0.65435278554,0.33444641389,-0.0491684052885
