beta0,beta1,beta2,beta3
-2.54690309129,18.5620099516,-39.6011981814,0.0835453078796
-3.25033896689,26.3717443453,-55.4633452405,0.104328664876
-2.13076545772,14.8290195359,-28.8801493392,0.067825581045
-2.93855673237,25.2634346163,-58.3628246593,0.12571449361
-3.61799634072,32.1278245424,-70.610421932,-0.00578952992841
-2.75075508458,19.404720891,-35.1230030266,0.151232501447
-3.51977252421,28.0046689237,-57.3645705162,0.107652810301
-3.2363544869,25.2679422485,-51.9642432512,0.141069394684
-3.41073437862,28.1198200216,-56.8642266909,0.0636466794045
-4.50187347729,39.4217259614,-84.4312026836,0.0814551998684
-4.49546328652,38.9617760373,-90.5190997489,0.0938216432349
-2.21827220421,13.6020335864,-16.4003393236,0.0795466763237
-3.45740905471,25.0074417931,-45.5711509166,0.0974800952766
-3.40150551963,30.0875379281,-67.2246994243,0.0601872585296
-1.91535673046,9.11395126601,-6.24028226906,0.14767794196
-2.1051361805,15.4408309599,-27.6112543582,0.0775464990533
-3.24322948172,27.2464212973,-56.5471111859,0.032711287805
-3.03169794197,24.5691553896,-48.0633135576,0.0485485146254
-2.60185991225,17.2621741697,-30.5210603115,0.0825341294621
-2.98872389847,22.4079669715,-41.5636895652,0.118001791215
-4.35306767377,37.6888457411,-79.3058391835,0.0126942799567
-3.81144020159,30.0844604102,-65.6690443841,0.149723732973
-2.45019236983,16.0711189207,-24.8509672178,0.0120915851064
-3.07240245574,23.5623556237,-43.9845203045,0.0136742696494
-4.48302432296,38.9670670887,-84.9172076792,0.161563222156
-3.75466138578,29.4730904964,-57.547862062,0.0887426313993
-3.06245279372,20.3895574761,-37.4343279575,0.136421675829
-4.48016759559,38.3332485014,-78.4372150935,0.032685417168
-3.19097904064,26.3959300348,-51.7893399765,-0.00383074577486
-4.28973251324,33.5924544628,-65.5248471291,0.117137580192
-1.89303257014,9.98248075611,-7.34595505085,0.037815419902
-2.41738450489,18.0538895205,-34.6286285705,0.0675963886704
-3.02997774885,19.8942393983,-31.2087699703,0.0381341384194
-2.90485745813,21.5019168776,-44.3396044692,0.150308820158
-2.61702598226,16.7207003578,-28.4862640536,0.0838715587734
-3.10008153892,27.2256703957,-58.5174506422,0.0189651094752
-2.53814818307,18.4121461201,-32.8919411113,0.0368226851384
-3.57749134352,29.744617514,-59.1855949897,0.118615302389
-2.64502500736,19.814027679,-37.1979468474,-0.00612531291916
-2.35786141496,11.2949398573,-6.34593156333,0.112463207883
-2.06997475399,5.94419506162,9.10983255055,0.0810983934889
-3.47366853553,26.5757406734,-49.7068640674,0.0258636559443
-1.32371853946,3.96416682239,2.59687973666,0.0470346255104
-1.61179569922,7.59936551489,-9.19634140765,0.166638212219
-4.65494852536,36.3456029821,-69.4801863349,0.120683094742
-3.82339946725,32.3210613102,-70.2384330721,0.0895379780399
-1.78640312873,11.863251808,-25.0166720939,0.028919479221
-2.40584310291,13.3294692527,-23.9311500086,0.210905375924
-4.24101022184,35.7089983601,-69.7407470939,0.0358412423912
-2.758869666,22.6599114772,-46.5820468961,0.0114455973509
-3.52568496484,26.1445472255,-49.8944208284,0.154526442492
