pnew,redshift,stellar_mass
0.412646307293,0.16591,10.72882
0.536725841301,0.27932,11.26152
0.452970543732,0.18199,10.84854
0.243592573034,0.11122,10.32254
0.469875987545,0.18994,10.88234
0.363080638254,0.14754,10.75606
0.533785594337,0.23896,11.04729
0.326021028517,0.13738,10.41902
0.524245374571,0.2245,11.09382
0.18462769817,0.09181,10.25294
0.189672534816,0.09424,10.11578
0.373733439011,0.15061,10.84126
0.468963862507,0.32882,11.17465
0.17348613534,0.08772,10.28102
0.265550358907,0.11722,10.51528
0.280316918442,0.12217,10.47688
0.413337831099,0.16606,10.74292
0.420819207115,0.16831,10.82592
0.52919397785,0.29494,11.51042
0.241255073357,0.11082,10.2563
0.523127226764,0.29459,11.22693
0.534843176007,0.25857,10.87981
0.506475786232,0.30882,11.28457
0.464910266465,0.18714,10.90545
0.336278115238,0.13825,10.79683
0.31856051891,0.13419,10.53094
0.142979823039,0.07871,9.729482
0.538203053884,0.26761,11.09184
0.506758230102,0.21251,10.91116
0.253247873866,0.11152,10.83529
0.53729672555,0.25743,10.98735
0.467763947173,0.18768,10.98387
0.52277260444,0.22552,10.98748
0.496709560765,0.20122,11.18653
0.492980791892,0.20211,10.96049
0.223694267098,0.10711,9.866583
0.228064763056,0.10759,10.05058
0.502975502088,0.31363,11.45516
0.53354190568,0.28331,11.24035
0.489651972029,0.31932,11.29117
0.205227599845,0.09788,10.45685
0.329770187871,0.13755,10.58018
0.315472700493,0.13332,10.50939
0.39714742975,0.15954,10.77966
0.504940433291,0.21054,10.94486
0.530304421662,0.23315,11.04987
0.520995812142,0.2225,11.03606
0.490274441526,0.19588,11.29856
0.357745839629,0.14638,10.6628
0.503715641852,0.20865,11.00457
0.512725365045,0.21647,10.95979
0.478156420127,0.19517,10.82108
0.354771361337,0.14574,10.60986
0.256293048817,0.11415,10.53424
0.532901941777,0.28327,11.21083
0.12923115208,0.06939,10.58912
0.231174565852,0.10571,10.5992
0.439781047457,0.17239,11.22929
0.523310013301,0.29176,11.10824
0.380183968467,0.15206,10.94973
0.43510928996,0.1704,11.23574
0.53043971928,0.22979,11.16541
0.331812969433,0.13708,10.75231
0.439787969106,0.17276,11.1902
0.232161793124,0.10768,10.28753
0.229980614547,0.10666,10.34506
0.302234193745,0.12828,10.62928
0.526149089874,0.29506,11.38196
0.132090336648,0.07019,10.67712
0.388419242746,0.15631,10.78122
0.493730352986,0.2004,11.11398
0.218450041547,0.10093,10.72172
0.521548753163,0.22463,10.9698
0.219200847495,0.1023,10.50212
