beta0,beta1,beta2,beta3
-3.32647566562,25.896321787,-52.1609975303,0.0140633031346
-3.59298405459,32.1899141789,-73.3768583489,0.0743942662543
-1.80045416123,13.8583092324,-26.6416403621,-0.0195069442589
-2.05049885312,14.436365164,-27.2868280405,0.0160336697445
-2.24981713238,16.979940089,-30.8985804402,0.00174326152298
-2.69879077866,17.2526060964,-27.8173579119,0.0763625350648
-2.72718352,20.4732135047,-37.0134484909,0.0295565440851
-1.49423056523,11.9065738123,-23.3545731353,-0.00421081956897
-3.69847428173,26.9590891709,-46.5093908981,0.083515837934
-3.83449045333,32.4777908752,-65.7669382109,0.0116402151255
-3.49697910337,29.0002185524,-55.5276171392,0.00554773910624
-3.38963851805,29.8457885872,-66.9529600352,0.0756364961109
-5.11606024823,43.3528447343,-92.859585399,0.110861685345
-1.7707154479,5.79029335348,7.44835760122,0.0871421315812
-2.94424777925,22.6135656583,-36.7807527962,-0.0749788215477
-2.90692465039,20.3028073099,-30.3627972721,0.0574856772246
-2.36942493483,17.372780539,-38.7477061844,0.097552655715
-3.55078037079,30.0015507056,-64.6426441199,0.0636059732563
-2.8870069465,24.3728938227,-49.7772150717,-0.0149752852794
-3.30859827696,30.5183475273,-73.1713166845,0.0625394365962
-3.30339858714,25.1618636574,-44.6039866812,0.0722964075
-1.40129372562,3.80906646778,2.23594017397,0.0922596570243
-1.90845307847,10.5094026621,-21.4150373708,0.218164279179
-2.71478209659,18.1684606929,-27.3357868159,0.0604576427568
-3.28365396167,25.2890628505,-43.8875902899,0.0665886163373
-2.96399929556,18.8711659288,-27.9018738408,0.139899704786
-3.62149764718,32.1483561152,-70.1678659039,0.071467706076
-3.84960525595,25.9219931507,-45.5480326212,0.178624653734
-3.52030086965,28.7198825694,-57.5826448324,0.0442772661286
-2.25339782613,14.2996359481,-22.2696830106,0.0513680229451
-1.84033102066,12.2441273421,-19.4398677219,0.0328747753305
-3.4549930594,24.2055833263,-40.4138884539,0.181677130811
-1.718954396,7.99048669825,-4.36504017749,0.128066844672
-1.91888596165,8.85487599071,1.3634608491,0.0386050764211
-4.52180435138,36.6970401142,-74.5305683005,0.143077049703
-2.69888558364,20.6665214321,-40.5139249046,0.11333810691
-3.13795055411,24.2557081575,-46.2293975206,0.0550400971953
-3.59839020359,31.8561905999,-71.6464656143,0.0518889093083
-2.60195787446,23.0498780287,-51.1473873823,0.0428663591051
-3.2567041903,24.1089794103,-46.8335355202,0.0645210241151
-3.17757510937,22.6969381849,-34.5658874015,0.0300017929699
-3.21112093161,19.223629818,-30.6094690575,0.218912014338
-2.9365396622,23.2554199013,-44.1677413385,0.0534831361365
-2.39097433186,18.659680138,-34.5616901143,0.05158468654
-2.3415288955,16.224556987,-30.4727836361,0.12043707235
-3.8773795954,31.7660290352,-65.006376543,0.0688147375617
-1.84131209587,10.0870082767,-9.1672483129,0.0354046226862
-2.17170864239,17.4911076214,-31.8006547289,-0.02508634846
-3.51804447372,30.6714740617,-64.255392731,0.0216105301357
-2.07622379303,12.4464223005,-17.7238886326,0.0800852366761
-3.17508373175,25.3826440276,-55.2459532086,0.0986032481088
-2.45363141737,16.3609849317,-28.3742040388,0.175097883853
-3.76099101807,34.0597621626,-76.6999938148,0.0193609149673
-2.238635266,9.51247349639,-2.7733909928,0.142212526179
-1.56108021108,8.08809763419,-10.120661069,0.10175673079
-3.77850338222,29.8678154729,-63.3880916659,0.205929340226
-1.83819021449,7.87506713457,4.70779432737,-0.0278220721071
-1.06479659226,3.11850837926,-0.826252216199,0.089901774937
-3.69627825227,26.8914474038,-51.343880123,0.131161866965
-3.84321557187,36.0508720632,-83.2392652794,0.0925577146151
-3.56612025115,25.644472985,-44.9297404546,0.0643222227609
-1.93441161303,12.0440580513,-14.7849742592,0.0679678317908
-3.44327558438,27.5851791318,-52.8143600487,0.034921263721
-2.93914926262,24.9184135721,-60.4820217379,0.193768811476
-3.05590721689,21.6850055863,-33.6092633679,0.0618538842881
-3.42919638145,25.6231708878,-49.3647839659,0.0895286131
-2.83315999452,20.5317364487,-34.1850150689,0.0619689633251
-3.26899667085,22.570738212,-37.381449114,0.0769543042913
-3.41182175484,27.2584258869,-56.9493814489,0.0276784338238
-2.40411224315,16.4221264434,-27.1699475815,0.0815941856666
-2.87585652342,20.5832890839,-35.5088144762,0.078092338463
-3.69114504375,29.7680694164,-58.862549871,0.097632139589
-2.54131699709,14.6578623101,-22.412643528,0.146511577505
-4.42095637356,33.2811037082,-61.2803075252,0.179778291638
-2.18783854518,16.3348975072,-33.2693670878,0.0868235223574
-2.71250650431,18.8289700449,-30.434686118,0.0797511306397
-2.14931681335,13.8763619891,-17.0366848913,0.0412163570244
-2.71541533374,21.4227757961,-38.2922010481,-0.0652469680203
-2.29039625263,13.8840767781,-14.6734299601,0.0511826318012
-2.63309219963,18.9505972443,-41.0268365682,0.198481777282
-1.71479689879,13.5391946868,-29.9478715207,0.0815589531514
-2.10928524511,14.9193245715,-27.5299887816,0.0774604708545
-3.69278122676,31.9164316357,-64.5718885612,0.0209776143626
-2.72469890998,15.1517102269,-18.9592545773,0.105768086685
-3.59911280634,29.5814411448,-61.3612108398,0.102680796017
-3.04028124383,26.7892268022,-56.2649419985,0.0597296100603
-2.62291645658,17.2325874615,-26.1985521427,0.11114451835
-3.97613120083,31.4283942612,-58.2180228985,0.0208338603353
-2.94974079269,22.6164348946,-40.8195133994,0.0571231775572
-2.44938415762,19.7926217965,-44.4354357345,0.0801359327932
-2.06902272583,12.6869108571,-22.4375227643,0.0790858210117
-3.84791841408,32.6554530922,-73.3910306751,0.147565814036
-2.23041594734,16.1724396712,-30.7415213189,0.103132179298
-3.49310800858,25.3559603477,-44.6857110065,0.0859626837986
-1.74067871541,6.3976543823,2.49563691865,0.111388394593
-3.53385626386,28.0687866264,-64.1719126499,0.194960449604
-3.26121944733,23.8759474274,-46.5049595045,0.107146865381
-3.81365524222,30.4519007898,-59.566236836,0.065014794417
-2.84817649887,19.0696076946,-29.359041401,0.0240771269999
-3.98505630766,33.09343957,-71.248480811,0.121376535617
-2.39463989236,20.7039405334,-43.0024470112,0.00596847223539
-2.07558319607,12.3217301623,-20.6753729806,0.140106957597
-2.68800438649,15.3834386209,-22.2640967924,0.150715409137
-2.26477130993,13.4747255452,-19.2288105635,0.100739139882
-1.98241254404,13.2494344807,-23.0181941301,0.106993465949
-2.87753128391,22.2431207135,-44.3061156109,0.0383249458592
-3.58361043618,29.272390339,-60.7038326788,0.0651058431077
-2.5446963089,14.7812810318,-28.0103281091,0.201484945088
-2.58211558216,22.0110281691,-47.0704636153,0.0391916299331
-3.33928598905,27.4203334429,-54.8138101935,0.0301540469077
-2.96587759145,19.3431358473,-29.6086632794,0.10202407558
-3.8382668178,29.0835100356,-55.5485276893,0.0913583114407
-2.32478824762,15.6868624829,-33.2564525777,0.17684192085
-4.22992109988,36.9685205709,-77.4934509391,-0.00461989324717
-3.84008598635,28.1125922298,-51.8744388413,0.133225895475
-0.97605799006,2.72306397283,0.780583550751,0.186722668362
-2.27162394468,18.5707971501,-38.3156075707,0.0712938268634
-1.75065787623,8.87701985472,-8.97004458574,0.0650909486429
-3.62362377167,26.4938253333,-46.6506286039,0.0923893641506
-2.23025332208,15.8529949831,-22.9008962386,-0.00347802467224
-2.59015904628,18.4793261443,-38.6361896315,0.181696680199
-3.16927938219,27.3482588761,-56.6467465371,0.0130440577083
-3.77290383969,32.6189798571,-68.3471047873,-0.0288256716933
-2.26108725478,11.745262002,-16.0754454695,0.191992394629
-2.2542503673,17.857025561,-34.9495660022,-0.00344961022043
-2.48295827961,15.2988024831,-22.843079772,0.0926257176636
-1.93896994672,12.1658791958,-15.5933404845,0.0266839382224
-1.57255010505,7.28384418336,-3.66438409995,0.109910050767
-3.96928165689,35.021671695,-75.5106491976,0.0503151035146
-3.37442932717,23.6222331207,-45.53645478,0.226159579591
